IBOV - Carteira do Dia 21/07/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;478.558.715;0,543;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,803;
ASAI3;ASSAI;ON      NM;1.338.623.499;0,453;
AURE3;AUREN;ON      NM;317.799.925;0,149;
AXIA3;AXIA ENERGIA;ON      NM;2.156.759.550;4,512;
AZZA3;AZZAS 2154;ON      NM;109.571.260;0,082;
B3SA3;B3;ON      NM;4.997.059.816;3,167;
BBSE3;BBSEGURIDADE;ON      NM;616.248.544;1,051;
BBDC3;BRADESCO;ON      N1;1.464.429.403;0,976;
BBDC4;BRADESCO;PN      N1;5.100.889.966;3,901;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,217;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,381;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,066;
BRAV3;BRAVA;ON      NM;462.883.017;0,384;
BPAC11;BTGP BANCO;UNT ATZ N2;1.194.624.560;2,771;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,555;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,081;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,872;
COGN3;COGNA ON;ON      NM;1.915.914.094;0,173;
CSMG3;COPASA;ON      NM;359.581.776;0,954;
CPLE3;COPEL;ON      NM;2.969.406.694;1,839;
CSAN3;COSAN;ON  ATZ NM;2.242.671.999;0,356;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,361;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,369;
CURY3;CURY S/A;ON      NM;160.988.231;0,202;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,247;
DIRR3;DIRECIONAL;ON      NM;327.091.595;0,161;
EMBJ3;EMBRAER;ON      NM;711.833.141;2,463;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,669;
ENEV3;ENEVA;ON      NM;1.913.352.180;2,039;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,449;
EQTL3;EQUATORIAL;ON      NM;1.247.728.993;2,036;
FLRY3;FLEURY;ON      NM;447.150.822;0,308;
GGBR4;GERDAU;PN      N1;1.258.208.269;1,234;
GOAU4;GERDAU MET;PN      N1;830.837.767;0,355;
HAPV3;HAPVIDA;ON      NM;271.662.290;0,130;
HYPE3;HYPERA;ON      NM;321.083.946;0,286;
IGTI11;IGUATEMI S.A;UNT ED  N1;205.800.982;0,212;
ISAE4;ISA ENERGIA;PN      N1;415.568.772;0,485;
ITSA4;ITAUSA;PN      N1;5.970.738.360;3,381;
ITUB4;ITAUUNIBANCO;PN      N1;5.050.269.111;8,873;
KLBN11;KLABIN S/A;UNT     N2;804.572.623;0,584;
RENT3;LOCALIZA;ON      NM;978.479.038;1,524;
LREN3;LOJAS RENNER;ON      NM;982.593.716;0,543;
MGLU3;MAGAZ LUIZA;ON      NM;373.155.063;0,075;
POMO4;MARCOPOLO;PN      N2;728.266.241;0,156;
MBRF3;MARFRIG;ON      NM;761.175.338;0,459;
BEEF3;MINERVA;ON      NM;454.804.863;0,068;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,606;
MRVE3;MRV;ON  ATZ NM;374.681.353;0,071;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,376;
NATU3;NATURA;ON      NM;838.359.453;0,301;
PETR3;PETROBRAS;ON      N2;2.237.877.167;4,287;
PETR4;PETROBRAS;PN      N2;4.410.960.450;7,539;
RECV3;PETRORECSA;ON      NM;274.624.898;0,116;
PSSA3;PORTO SEGURO;ON      NM;178.825.403;0,403;
PRIO3;PRIO;ON      NM;757.265.605;1,815;
RADL3;RAIADROGASIL;ON      NM;1.313.915.830;1,020;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,607;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,688;
SBSP3;SABESP;ON      NM;2.870.627.990;3,456;
SANB11;SANTANDER BR;UNT;360.347.199;0,404;
CSNA3;SID NACIONAL;ON;727.975.012;0,153;
SLCE3;SLC AGRICOLA;ON      NM;220.403.658;0,124;
SMFT3;SMART FIT;ON      NM;556.651.316;0,465;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;1,067;
TAEE11;TAESA;UNT     N2;218.568.234;0,374;
VIVT3;TELEF BRASIL;ON;707.125.712;1,048;
TIMS3;TIM;ON      NM;777.451.080;0,730;
TOTS3;TOTVS;ON      NM;533.997.411;0,639;
UGPA3;ULTRAPAR;ON      NM;1.067.870.496;1,406;
USIM5;USIMINAS;PNA ATZ N1;518.256.757;0,176;
VALE3;VALE;ON      NM;3.535.764.048;10,564;
VAMO3;VAMOS;ON      NM;448.052.066;0,057;
VBBR3;VIBRA;ON      NM;1.192.004.780;1,689;
VIVA3;VIVARA S.A.;ON      NM;123.698.325;0,113;
WEGE3;WEG;ON      NM;1.485.954.732;2,662;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,089;
Quantidade Teórica Total;;;93.321.430.230;100,000
Redutor;;;13.886.248,76732755
