IBXX - Carteira do Dia 21/07/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON      NM;478.558.715;0,499;
ABEV3;AMBEV S/A;ON;4.273.841.357;2,579;
ANIM3;ANIMA;ON      NM;256.720.485;0,021;
ASAI3;ASSAI;ON      NM;1.338.623.499;0,417;
AURE3;AUREN;ON      NM;317.799.925;0,137;
AXIA3;AXIA ENERGIA;ON      NM;2.156.759.550;4,151;
AZZA3;AZZAS 2154;ON      NM;109.571.260;0,076;
B3SA3;B3;ON      NM;4.997.059.816;2,915;
BBSE3;BBSEGURIDADE;ON      NM;616.248.544;0,967;
BBDC3;BRADESCO;ON      N1;1.464.429.403;0,898;
BBDC4;BRADESCO;PN      N1;5.100.889.966;3,589;
BRAP4;BRADESPAR;PN      N1;250.914.708;0,200;
SAUD3;BRADSAUDE;ON      NM;251.735.971;0,145;
BBAS3;BRASIL;ON      NM;2.842.496.541;2,191;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,060;
BRAV3;BRAVA;ON      NM;462.883.017;0,354;
BPAC11;BTGP BANCO;UNT ATZ N2;1.194.624.560;2,550;
CXSE3;CAIXA SEGURI;ON      NM;600.000.000;0,511;
CBAV3;CBA;ON      NM;204.441.277;0,084;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,075;
CMIG4;CEMIG;PN      N1;1.904.057.894;0,802;
COGN3;COGNA ON;ON      NM;1.915.914.094;0,160;
CSMG3;COPASA;ON      NM;359.581.776;0,877;
CPLE3;COPEL;ON      NM;2.969.406.694;1,692;
CSAN3;COSAN;ON  ATZ NM;2.242.671.999;0,327;
CPFE3;CPFL ENERGIA;ON      NM;187.732.538;0,332;
CMIN3;CSNMINERACAO;ON      N2;1.646.519.336;0,339;
CURY3;CURY S/A;ON      NM;160.988.231;0,186;
CVCB3;CVC BRASIL;ON      NM;408.009.727;0,017;
CYRE3;CYRELA REALT;ON      NM;281.609.283;0,227;
DIRR3;DIRECIONAL;ON      NM;327.091.595;0,148;
ECOR3;ECORODOVIAS;ON      NM;328.954.615;0,087;
EMBJ3;EMBRAER;ON      NM;711.833.141;2,266;
ENGI11;ENERGISA;UNT     N2;325.503.046;0,616;
ENEV3;ENEVA;ON      NM;1.913.352.180;1,876;
EGIE3;ENGIE BRASIL;ON      NM;357.310.487;0,413;
EQTL3;EQUATORIAL;ON      NM;1.247.728.993;1,874;
EZTC3;EZTEC;ON      NM;121.216.090;0,055;
FLRY3;FLEURY;ON      NM;447.150.822;0,283;
GGBR4;GERDAU;PN      N1;1.258.208.269;1,136;
GOAU4;GERDAU MET;PN      N1;830.837.767;0,327;
GGPS3;GPS;ON      NM;314.841.214;0,146;
GMAT3;GRUPO MATEUS;ON      NM;457.961.064;0,067;
HAPV3;HAPVIDA;ON      NM;271.662.290;0,120;
HYPE3;HYPERA;ON      NM;321.083.946;0,263;
IGTI11;IGUATEMI S.A;UNT ED  N1;205.800.982;0,195;
INTB3;INTELBRAS;ON      NM;113.898.409;0,057;
IRBR3;IRBBRASIL RE;ON      NM;81.534.304;0,177;
ISAE4;ISA ENERGIA;PN      N1;415.568.772;0,447;
ITSA4;ITAUSA;PN      N1;5.970.738.360;3,110;
ITUB3;ITAUUNIBANCO;ON      N1;456.130.473;0,785;
ITUB4;ITAUUNIBANCO;PN      N1;5.349.695.485;8,649;
JHSF3;JHSF PART;ON      NM;260.721.097;0,107;
KLBN11;KLABIN S/A;UNT     N2;804.572.623;0,538;
RENT3;LOCALIZA;ON      NM;978.479.038;1,402;
LREN3;LOJAS RENNER;ON      NM;982.593.716;0,500;
MGLU3;MAGAZ LUIZA;ON      NM;373.155.063;0,069;
POMO4;MARCOPOLO;PN      N2;728.266.241;0,143;
MBRF3;MARFRIG;ON      NM;761.175.338;0,422;
BEEF3;MINERVA;ON      NM;454.804.863;0,062;
MOTV3;MOTIVA SA;ON      NM;1.002.196.725;0,558;
MDNE3;MOURA DUBEUX;ON      NM;62.112.530;0,059;
MOVI3;MOVIDA;ON      NM;156.159.722;0,052;
MRVE3;MRV;ON  ATZ NM;374.681.353;0,066;
MULT3;MULTIPLAN;ON      N2;320.022.221;0,346;
NATU3;NATURA;ON      NM;838.359.453;0,277;
ORVR3;ORIZON;ON      NM;54.399.873;0,152;
PETR3;PETROBRAS;ON      N2;3.478.483.761;6,131;
PETR4;PETROBRAS;PN      N2;4.410.960.450;6,937;
RECV3;PETRORECSA;ON      NM;274.624.898;0,107;
AUAU3;PETZCOBASI;ON      NM;205.617.553;0,025;
PSSA3;PORTO SEGURO;ON      NM;178.825.403;0,370;
PRIO3;PRIO;ON      NM;757.265.605;1,670;
RADL3;RAIADROGASIL;ON      NM;1.313.915.830;0,939;
RAPT4;RANDON PART;PN      N1;176.793.154;0,033;
RDOR3;REDE D OR;ON      NM;1.091.469.308;1,478;
RAIL3;RUMO S.A.;ON      NM;1.221.155.293;0,633;
SBSP3;SABESP;ON      NM;3.506.733.260;3,884;
SAPR11;SANEPAR;UNT     N2;201.077.478;0,281;
SANB11;SANTANDER BR;UNT;360.347.199;0,372;
SMTO3;SAO MARTINHO;ON      NM;123.583.436;0,073;
CSNA3;SID NACIONAL;ON;727.975.012;0,141;
SIMH3;SIMPAR;ON      NM;135.653.148;0,039;
SLCE3;SLC AGRICOLA;ON      NM;220.403.658;0,114;
SMFT3;SMART FIT;ON      NM;556.651.316;0,428;
SUZB3;SUZANO S.A.;ON      NM;612.918.471;0,982;
TAEE11;TAESA;UNT     N2;218.568.234;0,344;
VIVT3;TELEF BRASIL;ON;707.125.712;0,964;
TEND3;TENDA;ON      NM;114.768.786;0,134;
TIMS3;TIM;ON      NM;777.451.080;0,672;
TOTS3;TOTVS;ON      NM;533.997.411;0,588;
UGPA3;ULTRAPAR;ON      NM;1.067.870.496;1,294;
USIM5;USIMINAS;PNA ATZ N1;518.256.757;0,162;
VALE3;VALE;ON      NM;4.268.646.710;11,735;
VAMO3;VAMOS;ON      NM;448.052.066;0,053;
VBBR3;VIBRA;ON      NM;1.192.004.780;1,554;
VIVA3;VIVARA S.A.;ON      NM;123.698.325;0,104;
WEGE3;WEG;ON      NM;1.485.954.732;2,449;
YDUQ3;YDUQS PART;ON      NM;261.365.845;0,082;
Quantidade Teórica Total;;;100.716.781.536;100,000
Redutor;;;35.796.918,70212839
