IDIV - Carteira do Dia 21/07/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ABCB4;ABC BRASIL;PN      N2;97.361.003;0,425;
ALOS3;ALLOS;ON      NM;590.258.296;2,984;
AXIA3;AXIA ENERGIA;ON      NM;361.318.461;3,369;
BRSR6;BANRISUL;PNB     N1;249.810.128;0,648;
BBSE3;BBSEGURIDADE;ON      NM;760.086.076;5,777;
BRBI11;BR PARTNERS;UNT     N2;58.263.812;0,157;
BBDC3;BRADESCO;ON      N1;1.398.110.000;4,155;
BBDC4;BRADESCO;PN      N1;1.141.114.941;3,890;
BRAP4;BRADESPAR;PN      N1;309.480.286;1,192;
SAUD3;BRADSAUDE;ON      NM;310.493.238;0,868;
BBAS3;BRASIL;ON      NM;1.118.618.972;4,177;
CXSE3;CAIXA SEGURI;ON      NM;740.044.986;3,053;
CMIG4;CEMIG;PN      N1;2.348.480.832;4,792;
CSMG3;COPASA;ON      NM;443.511.150;5,242;
CPFE3;CPFL ENERGIA;ON      NM;231.550.872;1,986;
CMIN3;CSNMINERACAO;ON      N2;2.030.830.634;2,027;
CURY3;CURY S/A;ON      NM;198.564.222;1,110;
DIRR3;DIRECIONAL;ON      NM;403.437.491;0,883;
EGIE3;ENGIE BRASIL;ON      NM;440.709.724;2,470;
EVEN3;EVEN;ON      NM;228.591.736;0,208;
EZTC3;EZTEC;ON      NM;149.508.932;0,327;
FESA4;FERBASA;PN      N1;181.813.759;0,200;
FLRY3;FLEURY;ON      NM;551.519.540;1,691;
GRND3;GRENDENE;ON      NM;292.153.931;0,206;
RANI3;IRANI;ON      NM;123.879.549;0,183;
ISAE4;ISA ENERGIA;PN      N1;512.565.977;2,668;
ITSA4;ITAUSA;PN      N1;2.010.855.574;5,075;
ITUB3;ITAUUNIBANCO;ON      N1;562.595.116;4,692;
ITUB4;ITAUUNIBANCO;PN      N1;521.752.373;4,086;
JHSF3;JHSF PART;ON      NM;321.575.567;0,640;
KEPL3;KEPLER WEBER;ON      NM;213.481.636;0,250;
LAVV3;LAVVI;ON      NM;91.556.058;0,182;
LOGG3;LOG COM PROP;ON      NM;63.561.501;0,309;
POMO3;MARCOPOLO;ON      N2;251.400.256;0,222;
POMO4;MARCOPOLO;PN      N2;898.249.634;0,853;
MBRF3;MARFRIG;ON      NM;938.839.988;2,524;
LEVE3;METAL LEVE;ON      NM;65.205.210;0,379;
PGMN3;PAGUE MENOS;ON      NM;374.821.306;0,236;
PETR3;PETROBRAS;ON      N2;538.206.868;4,596;
PETR4;PETROBRAS;PN      N2;634.203.386;4,832;
RECV3;PETRORECSA;ON      NM;338.724.631;0,637;
PINE4;PINE;PN  EJ  N2;87.086.752;0,189;
SLCE3;SLC AGRICOLA;ON      NM;271.847.703;0,683;
SYNE3;SYN PROP TEC;ON      NM;73.241.311;0,055;
TAEE11;TAESA;UNT     N2;269.583.876;2,054;
TGMA3;TEGMA;ON      NM;39.462.553;0,227;
TIMS3;TIM;ON      NM;881.529.535;3,689;
UNIP6;UNIPAR;PNB;61.033.196;0,689;
VALE3;VALE;ON      NM;286.405.277;3,815;
VLID3;VALID;ON      NM;93.529.802;0,311;
VBBR3;VIBRA;ON      NM;590.338.439;3,728;
VULC3;VULCABRAS;ON      NM;136.437.999;0,359;
Quantidade Teórica Total;;;25.887.604.095;100,000
Redutor;;;43.362.373,33228939
