IFIX - Carteira do Dia 03/08/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
CACR11;CARTESIA FII;CI;4.836.324;0,049;
AFHI11;FII AFHI CRI;CI;5.627.837;0,345;
ALZR11;FII ALIANZA;CI;172.266.250;1,123;
RZAT11;FII ARCTIUM;CI;4.235.042;0,253;
FATN11;FII ATHENA I;CI;5.160.005;0,269;
AZPL11;FII AZPL;CI  ER;41.922.689;0,201;
BBIG11;FII BBIG;CI  ER;99.120.994;0,352;
BRCR11;FII BC FUND;CI;26.638.202;0,698;
BCIA11;FII BCIA;CI  ER;3.719.038;0,212;
BCRI11;FII BEES CRI;CI  ER;6.257.873;0,240;
BRCO11;FII BRESCO;CI  ER;18.021.303;1,335;
BROF11;FII BROF;CI;11.610.812;0,453;
BTAL11;FII BTG AGRO;CI;5.982.736;0,327;
BTCI11;FII BTG CRI;CI;99.521.172;0,591;
BPML11;FII BTG SHOP;CI;7.441.745;0,409;
BTHF11;FII BTHF;CI;205.846.940;1,184;
BTLG11;FII BTLG;CI;68.920.108;4,514;
CPTS11;FII CAPI SEC;CI;363.503.147;1,777;
ICRI11;FII CI IPCA;CI  ER;3.857.359;0,229;
CLIN11;FII CLAVE IN;CI;4.346.763;0,249;
CPSH11;FII CPSH;CI;79.699.818;0,503;
CYCR11;FII CYRELA;CI  ER;36.549.445;0,202;
DEVA11;FII DEVANT;CI;14.044.908;0,172;
VRTA11;FII FATOR VE;CI  ER;15.592.424;0,731;
GTWR11;FII G TOWERS;CI  ER;12.000.000;0,619;
GZIT11;FII GAZIT;CI  ER;21.841.231;0,575;
GGRC11;FII GGR ZAG;CI;214.249.664;1,396;
GARE11;FII GUARDIAN;CI  ER;289.186.438;1,531;
HABT11;FII HABIT II;CI  ER;8.126.783;0,373;
HCTR11;FII HECTARE;CI;22.084.202;0,237;
HGBS11;FII HEDGEBS;CI  ERS;129.133.010;1,592;
HGCR11;FII HGCR PAX;CI  ER;15.418.106;0,932;
HGLG11;FII HGLG PAX;CI  ER;42.404.675;4,030;
HGRE11;FII HGRE PAX;CI  ER;11.817.767;0,913;
HGRU11;FII HGRU PAX;CI  ER;34.877.660;2,817;
HTMX11;FII HOTEL MX;CI  ER;2.888.094;0,260;
HSAF11;FII HSI CRI;CI  ER;2.526.360;0,125;
HSLG11;FII HSI LOG;CI  ER;12.660.067;0,743;
HSML11;FII HSI MALL;CI  ER;21.329.976;1,199;
HFOF11;FII HTOPFOF3;CI  ER;225.785.000;0,932;
IRIM11;FII IRIM;CI;35.225.947;1,490;
ITRI11;FII ITRI;CI  ER;6.250.000;0,311;
JSAF11;FII JS A FIN;CI  ER;77.523.290;0,357;
JSRE11;FII JS REAL;CI  ER;20.767.328;0,793;
KISU11;FII KILIMA;CI;44.196.050;0,185;
KNRI11;FII KINEA;CI  ER;28.204.047;2,871;
KCRE11;FII KINEA CR;CI  ER;36.000.000;0,204;
KNHF11;FII KINEA HF;CI  ER;19.663.235;1,214;
KNHY11;FII KINEA HY;CI  ER;31.173.083;2,002;
KNIP11;FII KINEA IP;CI  ER;80.078.186;4,716;
KNCR11;FII KINEA RI;CI  ER;107.089.622;7,433;
