SMLL - Carteira do Dia 21/07/26
Código;Ação;Tipo;Qtde. Teórica;Part. (%)
TTEN3;3TENTOS;ON      NM;113.066.386;0,526;
ABCB4;ABC BRASIL;PN      N2;78.936.556;0,565;
ALOS3;ALLOS;ON      NM;478.558.715;3,969;
ALPA4;ALPARGATAS;PN      N1;128.924.117;0,465;
ALUP11;ALUPAR;UNT     N2;157.537.587;1,595;
ANIM3;ANIMA;ON      NM;256.720.485;0,170;
ARML3;ARMAC;ON      NM;172.086.226;0,167;
ASAI3;ASSAI;ON      NM;1.338.623.499;3,310;
AURE3;AUREN;ON      NM;317.799.925;1,092;
AZZA3;AZZAS 2154;ON      NM;109.571.260;0,604;
BRSR6;BANRISUL;PNB     N1;202.536.440;0,863;
BMOB3;BEMOBI TECH;ON      NM;79.319.310;0,564;
BLAU3;BLAU;ON      NM;38.584.960;0,107;
SOJA3;BOA SAFRA;ON      NM;58.542.883;0,106;
BRBI11;BR PARTNERS;UNT     N2;47.238.057;0,209;
BRAP4;BRADESPAR;PN      N1;250.914.708;1,586;
SAUD3;BRADSAUDE;ON      NM;251.735.971;1,154;
BRKM5;BRASKEM;PNA     N1;265.709.734;0,479;
BRAV3;BRAVA;ON      NM;462.883.017;2,810;
CAML3;CAMIL;ON      NM;96.218.424;0,124;
BHIA3;CASAS BAHIA;ON      NM;143.421.097;0,044;
CBAV3;CBA;ON      NM;204.441.277;0,671;
CEAB3;CEA MODAS;ON      NM;204.964.309;0,596;
COGN3;COGNA ON;ON      NM;1.915.914.094;1,269;
CSMG3;COPASA;ON      NM;359.581.776;6,973;
CSAN3;COSAN;ON  ATZ NM;2.242.671.999;2,602;
CURY3;CURY S/A;ON      NM;160.988.231;1,477;
CVCB3;CVC BRASIL;ON      NM;408.009.727;0,134;
CYRE3;CYRELA REALT;ON      NM;281.609.283;1,808;
DASA3;DASA;ON      NM;177.124.938;0,154;
DESK3;DESKTOP;ON      NM;34.835.856;0,189;
DXCO3;DEXCO;ON      NM;336.842.147;0,512;
PNVL3;DIMED;ON      NM;82.405.671;0,281;
DIRR3;DIRECIONAL;ON      NM;327.091.595;1,174;
ECOR3;ECORODOVIAS;ON      NM;328.954.615;0,694;
EVEN3;EVEN;ON      NM;185.333.384;0,278;
EZTC3;EZTEC;ON      NM;121.216.090;0,435;
FESA4;FERBASA;PN      N1;147.407.600;0,266;
